ID	Organism	Subtype	Country	SamplingYear	Region	Organism_and_Subtype	Region_and_Year
AY734556|HIV-1|subtype:C	HIV-1	C	TANZANIA	2002	Africa	HIV-1_C	Africa_2002
AY734558|HIV-1|subtype:C	HIV-1	C	TANZANIA	2002	Africa	HIV-1_C	Africa_2002
AY734559|HIV-1|subtype:C	HIV-1	C	TANZANIA	2002	Africa	HIV-1_C	Africa_2002
AY734560|HIV-1|subtype:C	HIV-1	C	TANZANIA	2002	Africa	HIV-1_C	Africa_2002
AY734562|HIV-1|subtype:A1C	HIV-1	A1C	TANZANIA	2002	Africa	HIV-1_A1C	Africa_2002
AY751406|HIV-1|subtype:B	HIV-1	B	RUSSIAN FEDERATION	2004	Europe	HIV-1_B	Europe_2004
AY751407|HIV-1|subtype:B	HIV-1	B	RUSSIAN FEDERATION	2004	Europe	HIV-1_B	Europe_2004
AY771588|HIV-1|subtype:BF1	HIV-1	BF1	BRAZIL	1999	Central_and_South_America	HIV-1_BF1	Central_and_South_America_1999
AY771589|HIV-1|subtype:BF1	HIV-1	BF1	BRAZIL	1999	Central_and_South_America	HIV-1_BF1	Central_and_South_America_1999
AY771591|HIV-1|subtype:BF	HIV-1	BF	BRAZIL	1999	Central_and_South_America	HIV-1_BF	Central_and_South_America_1999
AY771592|HIV-1|subtype:BF	HIV-1	BF	BRAZIL	1999	Central_and_South_America	HIV-1_BF	Central_and_South_America_1999
AY771593|HIV-1|subtype:BF	HIV-1	BF	BRAZIL	1999	Central_and_South_America	HIV-1_BF	Central_and_South_America_1999
AY772535|HIV-1|subtype:G	HIV-1	G	CAMEROON	1996	Africa	HIV-1_G	Africa_1996
AY772690|HIV-1|subtype:C	HIV-1	C	SOUTH AFRICA	2003	Africa	HIV-1_C	Africa_2003
AY772691|HIV-1|subtype:C	HIV-1	C	SOUTH AFRICA	2003	Africa	HIV-1_C	Africa_2003
AY772692|HIV-1|subtype:C	HIV-1	C	SOUTH AFRICA	2003	Africa	HIV-1_C	Africa_2003
AY772693|HIV-1|subtype:C	HIV-1	C	SOUTH AFRICA	2003	Africa	HIV-1_C	Africa_2003
AY772694|HIV-1|subtype:C	HIV-1	C	SOUTH AFRICA	2003	Africa	HIV-1_C	Africa_2003
AY772695|HIV-1|subtype:C	HIV-1	C	SOUTH AFRICA	2003	Africa	HIV-1_C	Africa_2003
AY772696|HIV-1|subtype:C	HIV-1	C	SOUTH AFRICA	2003	Africa	HIV-1_C	Africa_2003
AY772698|HIV-1|subtype:C	HIV-1	C	SOUTH AFRICA	2004	Africa	HIV-1_C	Africa_2004
AY772699|HIV-1|subtype:C	HIV-1	C	SOUTH AFRICA	2004	Africa	HIV-1_C	Africa_2004
AY772700|HIV-1|subtype:C	HIV-1	C	SOUTH AFRICA	2003	Africa	HIV-1_C	Africa_2003
AY773338|HIV-1|subtype:D	HIV-1	D	SOUTH AFRICA	1984	Africa	HIV-1_D	Africa_1984
AY773339|HIV-1|subtype:D	HIV-1	D	SOUTH AFRICA	1985	Africa	HIV-1_D	Africa_1985
AY773340|HIV-1|subtype:D	HIV-1	D	SOUTH AFRICA	1985	Africa	HIV-1_D	Africa_1985
AY773341|HIV-1|subtype:D	HIV-1	D	SOUTH AFRICA	1986	Africa	HIV-1_D	Africa_1986
AY779550|HIV-1|subtype:B	HIV-1	B	CANADA	1998	North_America	HIV-1_B	North_America_1998
AY779551|HIV-1|subtype:B	HIV-1	B	CANADA	1999	North_America	HIV-1_B	North_America_1999
AY779552|HIV-1|subtype:B	HIV-1	B	CANADA	2000	North_America	HIV-1_B	North_America_2000
AY779553|HIV-1|subtype:B	HIV-1	B	CANADA	1997	North_America	HIV-1_B	North_America_1997
AY779554|HIV-1|subtype:B	HIV-1	B	CANADA	1998	North_America	HIV-1_B	North_America_1998
AY779555|HIV-1|subtype:B	HIV-1	B	CANADA	1998	North_America	HIV-1_B	North_America_1998
AY779557|HIV-1|subtype:B	HIV-1	B	CANADA	1998	North_America	HIV-1_B	North_America_1998
AY779558|HIV-1|subtype:B	HIV-1	B	CANADA	1999	North_America	HIV-1_B	North_America_1999
AY779559|HIV-1|subtype:B	HIV-1	B	CANADA	1992	North_America	HIV-1_B	North_America_1992
AY779560|HIV-1|subtype:B	HIV-1	B	CANADA	1994	North_America	HIV-1_B	North_America_1994
AY779561|HIV-1|subtype:B	HIV-1	B	CANADA	1992	North_America	HIV-1_B	North_America_1992
AY779562|HIV-1|subtype:B	HIV-1	B	CANADA	1993	North_America	HIV-1_B	North_America_1993
AY779563|HIV-1|subtype:B	HIV-1	B	CANADA	1996	North_America	HIV-1_B	North_America_1996
AY779564|HIV-1|subtype:B	HIV-1	B	CANADA	1996	North_America	HIV-1_B	North_America_1996
AY781126|HIV-1|subtype:B	HIV-1	B	URUGUAY	2001	Central_and_South_America	HIV-1_B	Central_and_South_America_2001
AY781127|HIV-1|subtype:B	HIV-1	B	URUGUAY	2001	Central_and_South_America	HIV-1_B	Central_and_South_America_2001
AY781128|HIV-1|subtype:BF	HIV-1	BF	URUGUAY	2001	Central_and_South_America	HIV-1_BF	Central_and_South_America_2001
AY795903|HIV-1|subtype:D	HIV-1	D	YEMEN	2001	Asia	HIV-1_D	Asia_2001
AY795904|HIV-1|subtype:B	HIV-1	B	YEMEN	2002	Asia	HIV-1_B	Asia_2002
AY795905|HIV-1|subtype:B	HIV-1	B	YEMEN	2002	Asia	HIV-1_B	Asia_2002
AY795906|HIV-1|subtype:C	HIV-1	C	YEMEN	2002	Asia	HIV-1_C	Asia_2002
AY795907|HIV-1|subtype:D	HIV-1	D	YEMEN	2002	Asia	HIV-1_D	Asia_2002
AY805330|HIV-1|subtype:C	HIV-1	C	ZAMBIA		Africa	HIV-1_C	Africa_unknown
AY818644|HIV-1|subtype:B	HIV-1	B	AUSTRALIA	2004	Oceania	HIV-1_B	Oceania_2004
AY819715|HIV-1|subtype:B	HIV-1	B	RUSSIAN FEDERATION	2004	Europe	HIV-1_B	Europe_2004
AY829203|HIV-1|subtype:A1	HIV-1	A1	UZBEKISTAN	2002	Asia	HIV-1_A1	Asia_2002
AY829204|HIV-1|subtype:02_AG	HIV-1	02_AG	UZBEKISTAN	2002	Asia	HIV-1_02_AG	Asia_2002
AY829205|HIV-1|subtype:A1	HIV-1	A1	UZBEKISTAN	2002	Asia	HIV-1_A1	Asia_2002
AY829206|HIV-1|subtype:A1	HIV-1	A1	UZBEKISTAN	2002	Asia	HIV-1_A1	Asia_2002
AY829207|HIV-1|subtype:02_AG	HIV-1	02_AG	UZBEKISTAN	2002	Asia	HIV-1_02_AG	Asia_2002
AY829208|HIV-1|subtype:A1	HIV-1	A1	UZBEKISTAN	2002	Asia	HIV-1_A1	Asia_2002
AY829209|HIV-1|subtype:A1	HIV-1	A1	UZBEKISTAN	2002	Asia	HIV-1_A1	Asia_2002
AY829210|HIV-1|subtype:A1	HIV-1	A1	UZBEKISTAN	2002	Asia	HIV-1_A1	Asia_2002
AY829212|HIV-1|subtype:A1	HIV-1	A1	UZBEKISTAN	2002	Asia	HIV-1_A1	Asia_2002
AY829214|HIV-1|subtype:02_AG	HIV-1	02_AG	UZBEKISTAN	2002	Asia	HIV-1_02_AG	Asia_2002
AY835748|HIV-1|subtype:B	HIV-1	B	UNITED STATES	1983	North_America	HIV-1_B	North_America_1983
AY835749|HIV-1|subtype:B	HIV-1	B	UNITED STATES	1986	North_America	HIV-1_B	North_America_1986
AY835750|HIV-1|subtype:B	HIV-1	B	UNITED STATES	1989	North_America	HIV-1_B	North_America_1989
AY835751|HIV-1|subtype:B	HIV-1	B	UNITED STATES	1990	North_America	HIV-1_B	North_America_1990
AY835752|HIV-1|subtype:B	HIV-1	B	UNITED STATES	1992	North_America	HIV-1_B	North_America_1992
AY835753|HIV-1|subtype:B	HIV-1	B	UNITED STATES	1996	North_America	HIV-1_B	North_America_1996
AY835754|HIV-1|subtype:B	HIV-1	B	UNITED STATES	1983	North_America	HIV-1_B	North_America_1983
AY835755|HIV-1|subtype:B	HIV-1	B	UNITED STATES	1985	North_America	HIV-1_B	North_America_1985
AY835756|HIV-1|subtype:B	HIV-1	B	UNITED STATES	1986	North_America	HIV-1_B	North_America_1986
AY835757|HIV-1|subtype:B	HIV-1	B	UNITED STATES	1986	North_America	HIV-1_B	North_America_1986
AY835758|HIV-1|subtype:B	HIV-1	B	UNITED STATES	1987	North_America	HIV-1_B	North_America_1987
AY835759|HIV-1|subtype:B	HIV-1	B	UNITED STATES	1982	North_America	HIV-1_B	North_America_1982
AY835760|HIV-1|subtype:B	HIV-1	B	UNITED STATES	1987	North_America	HIV-1_B	North_America_1987
AY835761|HIV-1|subtype:B	HIV-1	B	UNITED STATES	1991	North_America	HIV-1_B	North_America_1991
AY835762|HIV-1|subtype:B	HIV-1	B	UNITED STATES	1984	North_America	HIV-1_B	North_America_1984
AY835763|HIV-1|subtype:B	HIV-1	B	UNITED STATES	1988	North_America	HIV-1_B	North_America_1988
AY835764|HIV-1|subtype:B	HIV-1	B	UNITED STATES	1992	North_America	HIV-1_B	North_America_1992
AY835765|HIV-1|subtype:B	HIV-1	B	UNITED STATES	1984	North_America	HIV-1_B	North_America_1984
AY835766|HIV-1|subtype:B	HIV-1	B	UNITED STATES	1989	North_America	HIV-1_B	North_America_1989
AY835767|HIV-1|subtype:B	HIV-1	B	UNITED STATES	1993	North_America	HIV-1_B	North_America_1993
AY835768|HIV-1|subtype:B	HIV-1	B	UNITED STATES	1995	North_America	HIV-1_B	North_America_1995
AY835769|HIV-1|subtype:B	HIV-1	B	UNITED STATES	1985	North_America	HIV-1_B	North_America_1985
AY835770|HIV-1|subtype:B	HIV-1	B	UNITED STATES	1983	North_America	HIV-1_B	North_America_1983
AY835771|HIV-1|subtype:B	HIV-1	B	UNITED STATES	1986	North_America	HIV-1_B	North_America_1986
AY835772|HIV-1|subtype:B	HIV-1	B	UNITED STATES	1997	North_America	HIV-1_B	North_America_1997
AY835773|HIV-1|subtype:B	HIV-1	B	UNITED STATES	1994	North_America	HIV-1_B	North_America_1994
AY835774|HIV-1|subtype:B	HIV-1	B	UNITED STATES	1986	North_America	HIV-1_B	North_America_1986
AY835775|HIV-1|subtype:B	HIV-1	B	UNITED STATES	1986	North_America	HIV-1_B	North_America_1986
AY835776|HIV-1|subtype:B	HIV-1	B	UNITED STATES	1993	North_America	HIV-1_B	North_America_1993
AY835777|HIV-1|subtype:B	HIV-1	B	UNITED STATES	1983	North_America	HIV-1_B	North_America_1983
AY835778|HIV-1|subtype:B	HIV-1	B	UNITED STATES	1986	North_America	HIV-1_B	North_America_1986
AY835779|HIV-1|subtype:B	HIV-1	B	UNITED STATES	1984	North_America	HIV-1_B	North_America_1984
AY835780|HIV-1|subtype:B	HIV-1	B	UNITED STATES	1986	North_America	HIV-1_B	North_America_1986
AY835781|HIV-1|subtype:B	HIV-1	B	UNITED STATES	1983	North_America	HIV-1_B	North_America_1983
AY838565|HIV-1|subtype:C	HIV-1	C	SOUTH AFRICA	2000	Africa	HIV-1_C	Africa_2000
AY838566|HIV-1|subtype:C	HIV-1	C	SOUTH AFRICA	2000	Africa	HIV-1_C	Africa_2000
AY838567|HIV-1|subtype:C	HIV-1	C	SOUTH AFRICA	2000	Africa	HIV-1_C	Africa_2000
AY838568|HIV-1|subtype:C	HIV-1	C	SOUTH AFRICA	2000	Africa	HIV-1_C	Africa_2000
AY839827|HIV-1|subtype:B	HIV-1	B	SOUTH KOREA	2004	Asia	HIV-1_B	Asia_2004
